iteration,latency_ns,round_trip_us
0,642,3960.0
1,642,4233.3
2,642,3689.7
3,642,3936.3
4,642,3135.7
5,642,3832.6
6,642,3150.7
7,642,3924.6
8,642,3896.1
9,642,3134.5
10,642,4008.7
11,642,3889.0
12,642,3182.2
13,642,3813.2
14,642,4051.1
15,642,3960.0
16,642,3949.4
17,642,3625.2
18,642,3503.1
19,642,3930.0
20,642,3954.1
21,642,3915.0
22,642,3163.8
23,642,3911.1
24,642,3913.7
25,642,3257.9
26,642,3953.0
27,642,3915.2
28,642,4460.0
29,642,3882.6
30,642,4013.8
31,642,4121.1
32,642,3523.4
33,642,4100.9
34,642,3873.0
35,642,4257.0
36,642,3783.4
37,642,4177.5
38,642,3783.0
39,642,4225.7
40,642,5012.7
41,642,3774.9
42,642,3887.2
43,642,3948.2
44,642,4324.3
45,642,3846.0
46,642,4159.5
47,642,4021.8
48,642,4065.8
49,642,4093.8
50,642,3637.2
51,642,4145.5
52,642,3725.3
53,642,3936.4
54,642,3935.4
55,642,4217.3
56,642,3873.4
57,642,3965.4
58,642,3907.5
59,642,4290.9
60,642,4084.7
61,642,3839.9
62,642,4059.3
63,642,4205.4
64,642,3731.4
65,642,4091.2
66,642,4086.4
67,642,3911.9
68,642,4111.2
69,642,3554.5
70,642,3969.4
71,642,3987.0
72,642,3916.2
73,642,3238.8
74,642,3869.6
75,642,3979.1
76,642,3859.0
77,642,3127.3
78,642,3941.8
79,642,4026.8
80,642,3934.7
81,642,4372.3
82,642,3780.0
83,642,4183.5
84,642,3765.7
85,642,4204.8
86,642,4033.0
87,642,3869.8
88,642,4092.2
89,642,3771.4
90,642,4188.3
91,642,4113.1
92,642,3653.6
93,642,3937.9
94,642,3907.9
95,642,3150.5
96,642,4041.4
97,642,4174.3
98,642,3986.8
99,642,4024.1
100,642,3728.1
101,642,3846.0
102,642,3484.6
103,642,3827.0
104,642,4058.9
105,642,3672.8
106,642,3997.4
107,642,4004.3
108,642,3915.7
109,642,3921.7
110,642,3185.9
111,642,3835.3
112,642,3151.5
113,642,3852.6
114,642,3974.3
115,642,3985.2
116,642,3224.6
117,642,3795.9
118,642,3971.9
119,642,3151.3
120,642,3841.8
121,642,3128.2
122,642,3936.9
123,642,3906.5
124,642,3166.2
125,642,3824.7
126,642,3126.5
127,642,3841.5
128,642,3129.9
129,642,3902.5
130,642,4006.2
131,642,3951.6
132,642,3189.2
133,642,3852.4
134,642,4011.5
135,642,3934.0
136,642,3958.4
137,642,3240.8
138,642,3796.0
139,642,4044.7
140,642,3992.7
141,642,4001.3
142,642,3892.3
143,642,3143.0
144,642,4006.5
145,642,4250.2
146,642,3675.3
147,642,4227.6
148,642,4058.5
149,642,4049.4
150,642,3992.9
151,642,3773.5
152,642,4172.2
153,642,4083.7
154,642,3669.0
155,642,3913.7
156,642,4306.7
157,642,3979.2
158,642,3844.4
159,642,4219.2
160,642,3602.4
161,642,4250.2
162,642,3880.8
163,642,4175.6
164,642,3971.0
165,642,3793.9
166,642,3853.1
167,642,3931.6
168,642,4219.5
169,642,3836.8
170,642,3978.3
171,642,4018.8
172,642,3919.8
173,642,3937.6
174,642,3162.6
175,642,3870.6
176,642,3963.3
177,642,3176.2
178,642,4167.9
179,642,3812.3
180,642,3942.1
181,642,3996.8
182,642,4329.7
183,642,3941.6
184,642,3982.6
185,642,3749.9
186,642,4224.8
187,642,4000.0
188,642,3780.9
189,642,4170.8
190,642,4015.4
191,642,3757.5
192,642,3970.0
193,642,3851.2
194,642,3137.3
195,642,3848.1
196,642,3102.0
197,642,3890.8
198,642,3204.2
199,642,4047.2
200,642,3867.4
201,642,3899.0
202,642,4085.6
203,642,3868.4
204,642,4175.8
205,642,3867.4
206,642,3898.9
207,642,3165.5
208,642,3848.7
209,642,3201.6
210,642,3794.2
211,642,3947.0
212,642,3304.0
213,642,3779.8
214,642,3928.6
215,642,4099.9
216,642,3997.8
217,642,4120.6
218,642,3925.7
219,642,3954.1
220,642,4265.4
221,642,4056.4
222,642,3938.5
223,642,3972.1
224,642,4045.9
225,642,3668.2
226,642,3904.7
227,642,4024.6
228,642,4224.0
229,642,3840.1
230,642,3941.2
231,642,3913.2
232,642,4052.0
233,642,3895.6
234,642,3542.4
235,642,3569.6
236,642,4269.9
237,642,4087.2
238,642,3954.3
239,642,3992.9
240,642,3769.9
241,642,3863.8
242,642,4340.1
243,642,3746.7
244,642,4166.2
245,642,3843.0
246,642,3868.8
247,642,3933.0
248,642,4112.5
249,642,3866.6
250,642,4033.8
251,642,3996.2
252,642,4002.0
253,642,3981.8
254,642,3936.6
255,642,4032.9
256,642,4025.6
257,642,3912.0
258,642,3169.0
259,642,3931.5
260,642,4000.2
261,642,3940.4
262,642,3936.7
263,642,3189.7
264,642,3877.2
265,642,3897.1
266,642,3211.0
267,642,3835.1
268,642,4032.9
269,642,3994.1
270,642,3917.3
271,642,3271.0
272,642,3850.0
273,642,3896.5
274,642,3973.2
275,642,3186.9
276,642,3804.6
277,642,3177.3
278,642,3817.4
279,642,4006.9
280,642,4041.0
281,642,3963.9
282,642,3999.6
283,642,4367.8
284,642,3678.3
285,642,3966.3
286,642,4124.2
287,642,3908.2
288,642,4220.6
289,642,3815.6
290,642,4197.9
291,642,3742.5
292,642,3979.5
293,642,3978.8
294,642,4330.3
295,642,3944.7
296,642,3772.6
297,642,3937.9
298,642,4223.3
299,642,3842.4
300,642,4160.3
301,642,3716.9
