iteration,latency_ns,round_trip_us
0,642,4237.4
1,642,4022.3
2,642,3711.9
3,642,4025.5
4,642,3996.8
5,642,3986.4
6,642,3909.0
7,642,3981.7
8,642,3193.7
9,642,3838.7
10,642,3973.9
11,642,3954.3
12,642,3171.5
13,642,3841.4
14,642,3977.1
15,642,3945.7
16,642,3186.0
17,642,3906.0
18,642,4348.5
19,642,3640.0
20,642,3925.9
21,642,3174.5
22,642,3846.4
23,642,3986.3
24,642,3979.1
25,642,3944.9
26,642,3158.0
27,642,3904.9
28,642,3952.1
29,642,3959.9
30,642,3166.0
31,642,3921.5
32,642,3922.8
33,642,3155.6
34,642,4240.1
35,642,3747.5
36,642,3865.8
37,642,4025.3
38,642,4001.4
39,642,3882.8
40,642,4169.5
41,642,3976.2
42,642,3900.5
43,642,3157.9
44,642,3928.7
45,642,4232.4
46,642,4076.0
47,642,3713.8
48,642,3916.1
49,642,3998.5
50,642,4176.2
51,642,3843.4
52,642,3956.5
53,642,4380.2
54,642,3974.8
55,642,3768.4
56,642,4145.2
57,642,4018.7
58,642,3916.4
59,642,4044.5
60,642,3892.5
61,642,4086.0
62,642,3706.3
63,642,4210.6
64,642,4087.6
65,642,3955.9
66,642,4020.5
67,642,3820.3
68,642,4124.5
69,642,4233.5
70,642,3838.5
71,642,3734.5
72,642,3978.1
73,642,3902.2
74,642,3966.2
75,642,4242.6
76,642,4146.6
77,642,3948.3
78,642,4044.7
79,642,4010.8
80,642,3910.3
81,642,3628.5
82,642,3961.3
83,642,4324.1
84,642,4072.0
85,642,3708.4
86,642,3873.5
87,642,3968.7
88,642,4019.8
89,642,4266.7
90,642,4082.8
91,642,3990.9
92,642,3694.5
93,642,3893.8
94,642,3224.1
95,642,3896.6
96,642,4222.9
97,642,3781.4
98,642,4196.0
99,642,4048.4
100,642,3987.0
101,642,3982.2
102,642,3805.6
103,642,4122.8
104,642,4154.3
105,642,3772.8
106,642,4123.5
107,642,3989.6
108,642,4051.2
109,642,3557.2
110,642,4228.6
111,642,4097.9
112,642,3737.3
113,642,3958.4
114,642,3963.0
115,642,4247.4
116,642,3889.8
117,642,4150.9
118,642,4000.8
119,642,4018.8
120,642,3668.4
121,642,4007.0
122,642,3888.3
123,642,3099.5
124,642,3974.7
125,642,3937.7
126,642,3995.2
127,642,4000.5
128,642,4024.9
129,642,3963.0
130,642,3923.0
131,642,3176.1
132,642,3845.0
133,642,4034.9
134,642,3928.1
135,642,3238.6
136,642,3837.0
137,642,4013.4
138,642,3874.7
139,642,3266.1
140,642,3849.3
141,642,3924.2
142,642,3958.5
143,642,3250.0
144,642,3871.4
145,642,3965.8
146,642,3991.9
147,642,4032.7
148,642,3847.2
149,642,3216.8
150,642,3876.0
151,642,3978.4
152,642,3915.3
153,642,3233.9
154,642,3785.4
155,642,4036.4
156,642,3974.8
157,642,4017.8
158,642,3906.3
159,642,3193.7
160,642,3915.3
161,642,3984.6
162,642,3963.6
163,642,4011.0
164,642,4215.0
165,642,4080.9
166,642,3735.6
167,642,3961.0
168,642,4280.4
169,642,3997.1
170,642,3830.5
171,642,4151.4
172,642,4055.5
173,642,3693.0
174,642,3931.2
175,642,4271.2
176,642,3904.4
177,642,3745.1
178,642,4398.8
179,642,3941.3
180,642,3991.4
181,642,3689.6
182,642,4154.9
183,642,4110.0
184,642,3794.5
185,642,4181.8
186,642,4032.4
187,642,3982.1
188,642,3692.8
189,642,4063.4
190,642,4204.8
191,642,3737.5
192,642,4350.0
193,642,3928.9
194,642,3995.5
195,642,3938.0
196,642,3695.1
197,642,3985.5
198,642,3895.1
199,642,3227.8
200,642,3904.2
201,642,3923.6
202,642,3940.2
203,642,3232.7
204,642,3937.5
205,642,3959.3
206,642,3873.4
207,642,3211.4
208,642,4036.8
209,642,3800.1
210,642,3976.7
211,642,4017.7
212,642,3878.1
213,642,3261.9
214,642,3801.7
215,642,3952.8
216,642,3154.0
217,642,3939.7
218,642,4062.4
219,642,3814.5
220,642,3134.6
221,642,3899.0
222,642,3971.8
223,642,3982.8
224,642,3169.7
225,642,3850.3
226,642,3964.0
227,642,3158.0
228,642,3865.2
229,642,3957.1
230,642,3441.9
231,642,3964.7
232,642,3977.6
233,642,3784.6
234,642,3987.2
235,642,3869.1
236,642,3987.4
237,642,3924.9
238,642,3152.2
239,642,3899.1
240,642,4019.0
241,642,3983.6
242,642,3929.7
243,642,4059.0
244,642,4000.3
245,642,4121.2
246,642,3911.1
247,642,3989.7
248,642,3909.8
249,642,3976.3
250,642,3260.3
251,642,3881.8
252,642,3935.9
253,642,3865.1
254,642,3186.2
255,642,3823.9
256,642,3219.6
257,642,3797.1
258,642,4014.9
259,642,3978.8
260,642,3945.5
261,642,3207.0
262,642,3832.5
263,642,3994.7
264,642,3906.9
265,642,3165.7
266,642,3895.2
267,642,3927.9
268,642,3265.0
269,642,3727.3
270,642,3178.0
271,642,3831.5
272,642,4009.7
273,642,4003.7
274,642,3966.2
275,642,3994.0
276,642,4016.3
277,642,3989.9
278,642,3957.5
279,642,3964.2
280,642,3975.3
281,642,3212.4
282,642,3860.8
283,642,3951.7
284,642,3969.2
285,642,3979.8
286,642,4133.1
287,642,3878.1
288,642,3976.9
289,642,3961.5
290,642,3154.8
291,642,3972.4
292,642,3977.2
293,642,3971.2
294,642,3873.7
295,642,3222.8
296,642,3825.9
297,642,3918.8
298,642,3206.4
299,642,3864.1
300,642,3985.5
301,642,3970.4
302,642,3174.7
303,642,3881.7
304,642,3909.6
305,642,3950.9
306,642,3235.9
307,642,3873.0
308,642,3945.8
309,642,3966.0
310,642,3190.7
311,642,3848.1
312,642,3944.6
313,642,3992.0
314,642,3161.2
315,642,3856.0
316,642,3965.3
317,642,3238.1
318,642,3808.1
319,642,3963.5
320,642,3938.8
321,642,3177.5
322,642,3843.7
323,642,3976.1
324,642,3145.4
325,642,3879.5
326,642,3981.7
327,642,4130.0
328,642,3824.6
329,642,3153.8
330,642,3829.6
331,642,3191.4
332,642,3860.1
333,642,3945.7
334,642,3980.4
335,642,3164.6
336,642,3855.0
337,642,3962.1
338,642,3206.9
339,642,3817.2
340,642,3963.3
341,642,3992.8
342,642,3159.9
343,642,3860.7
344,642,3993.4
345,642,3985.0
346,642,3990.5
347,642,3941.6
348,642,3179.5
349,642,3831.7
350,642,3149.8
351,642,3862.9
352,642,4019.5
353,642,3968.6
354,642,3989.2
355,642,3942.9
356,642,3198.9
357,642,3833.2
358,642,4013.6
359,642,3949.6
360,642,3190.1
361,642,3835.6
362,642,3956.7
363,642,3157.6
364,642,3861.9
365,642,3960.9
366,642,3162.2
367,642,3853.7
368,642,3979.6
369,642,3973.1
370,642,3161.6
371,642,3909.6
372,642,3944.2
373,642,4171.3
374,642,3877.7
375,642,3916.4
376,642,4017.5
