iteration,latency_ns,round_trip_us
0,654,4059.9
1,654,3668.2
2,654,3979.3
3,654,3917.2
4,654,4301.4
5,654,3839.2
6,654,3878.9
7,654,3948.7
8,654,3889.7
9,654,3179.6
10,654,3814.8
11,654,3123.7
12,654,3877.8
13,654,3247.7
14,654,3747.8
15,654,3187.6
16,654,3851.0
17,654,3974.9
18,654,4065.9
19,654,3906.7
20,654,4042.1
21,654,3993.5
22,654,4220.4
23,654,3928.8
24,654,4112.3
25,654,3800.8
26,654,4250.6
27,654,3974.4
28,654,3797.1
29,654,4153.5
30,654,3856.8
31,654,3815.1
32,654,4112.3
33,654,4337.3
34,654,3611.0
35,654,3961.8
36,654,4456.7
37,654,3506.0
38,654,4060.8
39,654,4189.9
40,654,4813.3
41,654,4180.4
42,654,3744.9
43,654,4233.0
44,654,3772.4
45,654,4224.6
46,654,4019.3
47,654,3784.7
48,654,3998.2
49,654,4243.8
50,654,3963.9
51,654,3639.1
52,654,3956.7
53,654,4317.6
54,654,3837.8
55,654,4030.9
56,654,3796.6
57,654,4052.4
58,654,4220.9
59,654,4080.9
60,654,3674.8
61,654,3893.7
62,654,3127.8
63,654,3941.7
64,654,4363.0
65,654,3945.5
66,654,4195.4
67,654,3604.9
68,654,4060.6
69,654,4074.3
70,654,3772.3
71,654,4009.7
72,654,3855.7
73,654,3931.6
74,654,3152.5
75,654,3798.4
76,654,3154.0
77,654,3943.4
78,654,3970.8
79,654,3913.6
80,654,3203.3
81,654,3888.3
82,654,3894.4
83,654,3144.9
84,654,3918.8
85,654,4039.9
86,654,3907.4
87,654,3155.7
88,654,3934.4
89,654,4002.6
90,654,3962.7
91,654,3997.6
92,654,4053.1
93,654,3881.6
94,654,3975.3
95,654,3152.0
96,654,3861.3
97,654,3968.8
98,654,3165.6
99,654,4211.7
100,654,3746.5
101,654,3868.5
102,654,3147.0
103,654,3864.6
104,654,4040.9
105,654,3953.8
106,654,4287.8
107,654,4059.1
108,654,3865.7
109,654,3760.2
110,654,3878.0
111,654,3149.0
112,654,3880.2
113,654,3979.3
114,654,3159.2
115,654,3891.5
116,654,3938.9
117,654,3204.2
118,654,3891.2
119,654,3878.9
120,654,3135.1
121,654,3931.7
122,654,4090.6
123,654,4212.3
124,654,3848.0
125,654,3890.3
126,654,3964.6
127,654,4312.7
128,654,3972.6
129,654,4049.5
130,654,3713.7
131,654,3898.3
132,654,3906.0
133,654,4058.7
134,654,3916.6
135,654,3155.5
136,654,4070.5
137,654,3810.3
138,654,3979.4
139,654,3916.5
140,654,3264.0
141,654,3788.2
142,654,3248.5
143,654,3772.1
144,654,4019.4
145,654,3951.4
146,654,3948.4
147,654,3241.4
148,654,3920.6
149,654,3980.8
150,654,3967.7
151,654,4249.9
152,654,3852.4
153,654,4142.8
154,654,3677.5
155,654,4297.6
156,654,4032.3
157,654,4244.8
158,654,3760.4
159,654,3824.2
160,654,4083.3
161,654,4273.9
162,654,3463.2
163,654,3955.4
164,654,3870.6
165,654,3259.7
166,654,3795.0
167,654,4029.4
168,654,3990.6
169,654,4298.3
170,654,3768.7
171,654,3938.4
172,654,3966.7
173,654,4096.3
174,654,4217.8
175,654,4093.0
176,654,3906.8
177,654,3779.6
178,654,3863.0
179,654,3906.4
180,654,3510.7
181,654,3955.6
182,654,3702.5
183,654,3942.1
184,654,4189.3
185,654,3823.9
186,654,3867.2
187,654,3958.0
188,654,3511.0
189,654,3643.2
190,654,3856.6
191,654,3970.4
192,654,4285.8
193,654,3801.1
194,654,3939.4
195,654,3950.7
196,654,3993.2
197,654,3978.0
198,654,3118.2
199,654,3921.2
200,654,3953.3
201,654,3952.4
202,654,3214.1
203,654,3839.6
204,654,4018.9
205,654,3881.0
206,654,3154.0
207,654,3855.3
208,654,3114.4
209,654,3911.3
210,654,3969.8
211,654,3184.3
212,654,3844.8
213,654,3957.4
214,654,3982.2
215,654,3220.8
216,654,3770.2
217,654,3169.6
218,654,3859.6
219,654,3955.4
220,654,3987.9
221,654,3151.8
222,654,3815.5
223,654,3167.0
224,654,3855.0
