iteration,latency_ns,round_trip_us
0,642,4267.4
1,642,3984.5
2,642,3949.7
3,642,3842.5
4,642,3888.1
5,642,4076.8
6,642,4207.3
7,642,3926.3
8,642,3828.2
9,642,3968.0
10,642,4148.2
11,642,3878.5
12,642,3975.4
13,642,3955.0
14,642,3998.9
15,642,3876.8
16,642,3947.1
17,642,4283.1
18,642,4012.4
19,642,4067.7
20,642,3922.9
21,642,3894.3
22,642,4129.2
23,642,4058.6
24,642,3958.2
25,642,3849.3
26,642,4099.6
27,642,3942.2
28,642,4072.3
29,642,3979.1
30,642,3824.5
31,642,3793.0
32,642,4063.0
33,642,4250.3
34,642,3794.7
35,642,3859.5
36,642,4170.9
37,642,3993.6
38,642,4186.1
39,642,3771.7
40,642,3891.5
41,642,3919.8
42,642,4101.7
43,642,4247.2
44,642,3818.9
45,642,4242.6
46,642,3643.5
47,642,4254.7
48,642,3876.8
49,642,4282.7
50,642,3663.7
51,642,3824.4
52,642,4259.8
53,642,4094.4
54,642,3991.9
55,642,4071.6
56,642,3676.4
57,642,4205.4
58,642,3738.6
59,642,3955.1
60,642,4230.5
61,642,4034.1
62,642,4019.1
63,642,3819.4
64,642,4137.1
65,642,3739.6
66,642,4241.4
67,642,4150.5
68,642,3897.8
69,642,3704.1
70,642,3927.4
71,642,4279.4
72,642,4023.4
73,642,4130.4
74,642,3766.7
75,642,4125.4
76,642,3681.9
77,642,3917.1
78,642,3916.6
79,642,3287.4
80,642,3737.8
81,642,4038.7
82,642,3982.6
83,642,3936.2
84,642,3155.5
85,642,3795.8
86,642,3176.6
87,642,3937.1
88,642,4021.9
89,642,3879.7
90,642,3964.1
91,642,3165.0
92,642,3869.0
93,642,3912.9
94,642,3190.2
95,642,4222.5
96,642,3662.1
97,642,4250.9
98,642,3862.5
99,642,3960.6
100,642,4206.9
101,642,4127.2
102,642,3574.8
103,642,3902.2
104,642,3328.1
105,642,3845.7
106,642,4254.2
107,642,3709.5
108,642,3976.3
109,642,4035.5
110,642,3943.1
111,642,4221.0
112,642,3926.4
113,642,3961.1
114,642,4188.4
115,642,3801.9
116,642,4116.8
117,642,3644.4
118,642,4009.6
119,642,4285.9
120,642,3926.0
121,642,4088.1
122,642,3751.8
123,642,4071.2
124,642,4082.2
125,642,4055.4
126,642,3742.7
127,642,3959.5
128,642,4162.3
129,642,3820.5
130,642,3964.7
131,642,4235.0
132,642,4054.0
133,642,3740.0
134,642,3949.6
135,642,4257.4
136,642,4129.1
137,642,3890.9
138,642,3658.6
139,642,4347.0
140,642,4064.5
141,642,3723.5
142,642,4157.5
143,642,3999.1
144,642,3704.1
145,642,4015.5
146,642,4005.0
147,642,4190.2
148,642,3708.7
149,642,4288.6
150,642,4036.2
151,642,3980.8
152,642,3737.6
153,642,3846.4
154,642,3228.0
155,642,3780.6
156,642,3971.7
157,642,4004.1
158,642,3984.0
159,642,3177.8
160,642,3803.0
161,642,3141.5
162,642,3864.5
163,642,4078.0
164,642,3919.8
165,642,3966.5
166,642,3163.2
167,642,3873.3
168,642,3930.9
169,642,3170.9
170,642,3848.6
171,642,3972.7
172,642,3158.4
173,642,3858.9
174,642,3965.6
175,642,3126.1
176,642,3897.1
177,642,3959.4
178,642,3125.8
179,642,3886.9
180,642,3965.2
181,642,3112.4
182,642,3905.0
183,642,4061.8
184,642,4257.0
185,642,3814.6
186,642,4203.3
187,642,3745.3
188,642,4210.8
189,642,3731.2
190,642,3884.6
191,642,3236.4
192,642,3821.3
193,642,3931.6
194,642,3181.2
195,642,3833.7
196,642,4007.0
197,642,3922.8
198,642,3219.7
199,642,3908.4
200,642,4007.3
201,642,3934.5
202,642,3929.3
203,642,3255.8
204,642,3922.5
205,642,3872.8
206,642,4145.3
207,642,4216.4
208,642,3985.3
209,642,3639.3
210,642,3944.7
211,642,4011.5
212,642,4393.0
213,642,3625.6
214,642,4012.6
215,642,3921.5
216,642,4037.1
217,642,3897.0
218,642,3257.1
219,642,3797.4
220,642,3964.9
221,642,3960.8
222,642,3169.9
223,642,3871.1
224,642,3961.9
225,642,3173.2
226,642,3841.1
227,642,3968.4
228,642,3150.7
229,642,3865.7
230,642,3966.5
231,642,3596.9
232,642,3843.0
233,642,4091.7
234,642,3521.6
235,642,3977.0
236,642,3946.6
237,642,4531.5
238,642,3650.7
239,642,3900.8
240,642,3955.0
241,642,4129.1
242,642,4037.5
243,642,3996.7
244,642,3999.5
245,642,3919.5
246,642,4111.7
247,642,3926.8
248,642,3914.0
249,642,4018.5
250,642,3789.9
251,642,4369.5
252,642,4002.1
253,642,3761.6
254,642,3967.2
255,642,3941.8
256,642,4327.8
257,642,3675.1
258,642,3993.2
259,642,4020.5
260,642,3866.4
261,642,4005.3
262,642,4092.2
263,642,4022.1
264,642,4060.1
265,642,4321.4
266,642,3972.5
267,642,3718.4
268,642,4171.6
269,642,3959.1
270,642,3992.0
271,642,4069.3
272,642,4024.2
273,642,3909.3
274,642,3877.0
275,642,4072.6
276,642,4171.6
277,642,3589.2
278,642,3922.0
